original	translation
15112	38696
15113	38697
15114	38698
15115	38699
15116	38700
15117	38701
15118	38702
15119	38703
15120	38704
15121	38705
15123	38707
15124	38708
15125	38709
15126	38710
15129	38713
15130	38714
15131	38715
15132	38716
15133	38717
15134	38718
15135	60036,38719
15136	38720
15137	38721
15138	38722,38723
15139	38724
15140	38725
15141	38726
15142	38727
15143	38728
15144	38729
15145,15146	38730
15147	38732
15148	50810
15149	50811
15150	38734
15151	38736
15152	38737
15153	38738
15154	60039
15155	38739
15156	38740
15157	38741
15158	38742
15159	38743
47838	50812
47839,47840	50813
15161	50814
15162	38746
15163	50815
15164	50816
15165	50817
15166	50818
15167	38749
15168	38750
15169	38751
15170	50819
15171	50820
15172	38754
15173	38755
15174	38756
47841,47842	38757
47843	
47844	
15177	38758
15178	50821
15179	50822
15180	50823
15181	38762
15182	38763
15183	38764
15184	50824
47845	50825
47846	38767
15186	38768
15187	38769
15188	38770
15189	38771
15190	38772
15191	38773
15192	38774
15193	38775
15194	38776
15195	38777
15196	38778
15197	38779
15198	38780
15199	38781
15200	38782
15201	38783
15202	38784
47847	38785
47848	60062
15204	38786
15205	38787
15206	38788
15207	50826
15208	50827,38790
15209	38791
15210	38792
15211	38793
15212	38794
15213	50828
15214	38796
15215	38797
15216	50830,50831
15217	50832
15218	38800
15219	38801
15220	38802
15221	38803
15222	38804
15223	38805
15224	38806
15225	38807
15226	50834
15227	50835
15228	38809
15229	38810
15230	38811
15231	38812
15232	38813
47849,47850	38814
15234	38815
15235	38816
47851	38817
47852	60087
15237	38818
15238	38819
15239	38820
47853	50836
47854	50837
15242	38823
15243	38824
15244	38825
15245	38826
47855	38827
47856	38828
15247	38829
47857	38830
47858	38831
47859,47860	38832
15250	38833
15251	38834
15252	38835
15253	38836
15254	38837
47861	38838
47862	62957
15256,15257	38839
15258	38841
47863,47864	38842
15260	38843
15261	38844,38845
15262	38846
	50838
15263	50839
15264,58491	38848
15265	38849
15266	38850
47865	50840,50841
15268	38852
15269	38853
15270	50842
15271	50843,38855
15272	38856
15273	38857
15274	38858
15275	50844
15276	50845
15277	38861
15278	38862
15279	38863
15280	38864
15281	38865
15282	38867
15283	38868
15284	38869
15285	50846,62739
15286	38871
15288	38873,62740
15289	38874
15290	38875
15291,15292	38876,38877
15293	38878
15294	50848
15295	50849,50850
15296	50851
15297	38882
15298	38883
15299	38884
15300	50852
15301	50853
15302	50854
15303	50855
15304	38887
15305	38888
15306	38889
15307	38890
15308	38891
15309	38892
15310	38893
15311	38894
15312	38895
15313	38896,50856
15314	50857
47867	50858
47868	50859
15316	50860
15317	50861
15318	50862
15319	50863
15320	50864
15321	38903,38904
15322	38905
15323	38906
15324	38907,50865
15325	50866
15326	38909
15327	38910
15328	38911
15329	38912
15330	38913
15331	38914
15332	38915
15333	38916
15334	38917
15335	38918
15336	38919
15337	38920
15338	50867,50868
15339	38922
15340	38923
15342	38925
15343	38926
47871,47872	38927
15345	38928
15346	38929
15347	38930
15348	38931
15349	38932
15350	38933
15351	38934
15352	38935
15353	38936
15354	38937
15355	38938
15356	38939
15357	38940
15358	38941
15359	38942
15360	38943
15361	38944
15362	38945
15363	38946
15364	38947
15365	38948
15366	38949
15367	38950
15368	38951
15369	38952
15370	38953
15371	38954
15372	38955
15373	38956
15374	38957
15375	38958
15376	38959
15377	38960
15378	50869
15379,15380	50870
15381	38963
15382	38964
15383	38965
15384	38966
15385	38967
15386	38968
15387	38969
15388	38971
15389	38972
15390	38973
15391	38974
15392	38975
15393	38976
47873	50871
47874	50872
15395	38978
15396	38979
15397	38980
15398	38981
15399	38982
15400	38983
15401	38984
47875	38985
47876	38986
47877	50873
47878	50874
15404	50875
47879	
47880	50876,38989
47881	38990
47882	50877,50878
15407	38992
15408	38993
15409	38994
15410	38995
15411	50879
81936	62768
15412	38997
15413	38998
47883,47884	38999
15415	62769
15416	39001
15417	39002
15418	50881,50882
15419	39004
15420	39005
15421	39006
47885	39007
47886	62770
47887	62771
15423	39008
15424	39009
15425	39010
15426	39011
15427	39012
15428	39013
15429	39014
15430	39015
15431	39016,62772
15432	39017
15433	39018
15434	39019
15435	39020
15436	39021
15437,15438	50883,50884
15439	39024
15440	39025
15441	39026
15442	39027
15443	39028
15444	39029
15445	39030
15446	50885,50886
15447	39032
47888,47889	39033
15449	39034
15450	39035
15451	39036
15452	39037
15453	39038
15454	39039
15455	39040
15456	39041
15457	39042,50887
15458	50888
15459	39044
15460	39045
15461	39046
15462	50889
15463	50890
15464	39049
15465	39050
15466	50891
15467	50892
15468	39052
15469	39053
15470	39054
15471	39055
15472	39056
15473	39057
15474	50893
15475	50894
15476	39059
15477	39060
15478,15479	39061,39062
15480	39063
15481	39064
47890	50895
47891	50896
47892	62777
47893	62778,50897
	50898
47894	50899
47895	50900
15485	39068
15486	50901
15487	50902
15488,15489	39071
15490	39072
15491	39074
15492	39075
15493	39076
15494	50903,50904,39078
15496	39079
15497	39080
15498	39081
15499	39082
15500	39083
15501	39084
47896	50905
47897	50906
15503	39086
15504	39087
15505	39088
15506	39089
15507	39090
58284	58717
15508	39091
15509	39092
15510	50907
15511	50908
15512	50909
15513	50910
	50911
15514	50912
15515	50913
15516	39099
15517	39100
15518	39101
15519	39102
15520	39103
15521	39104
15522	39105
47898	50914
47899	50915
15524	39107
15525	39108
15526	39109
15527	39110
15528	39111
15529	39112
15530	39113
15531	39114
15532	39115
15533	39116
15534	50916
15535	50917
15536	39119
15537	39120
15538	39121
47900	50918
47901	50919
15540	39123
15541	39124
15542	39125
15543	39126
15544	39127
15545	39128
15546	39129
47902	39130
15548	39131
15549	39132
15550	39133
15551	50920
15552	50921
15553	50922
15554	50923,39137
15555	39138
15556	39139
15557	50924
15558	50925
15559	39142
57053	39143
15561	39144
15562	39145
15563	39146
15564	39147
15565	39148
15566	39149
15567	39150
15568	39151
15569	39152
15570	39153
15571	39154
15572	39155
15573	39156
15574	39157
15575	39158
15576	39159
47904	50926
47905	50927
15578	39161
15579	39162
15580,15581	50928,50929
58603	39164
15582	39165
15583	39167
15584	39168
15585	39169
47906	50930
47907	50931
15587	39171
15588	39172
15589	39173
15590	39174
15591	39175
15592	39176
15593	39177
15594	39178
15595	39179
15596	39180
15597	39181
15598	39182
15599	50932
15600	50933,39184
15601	39185
15602	39186
15603	39187
15604	39188
15605	50934
15606	50935,39190
15607	39191
15608	39192
15609	39193,50936
15610	50937
15611,15612	50938,62878
15613	50940
15614	50941
	39197
15615	50942
15616	50943,39199
15617	39200
15618	39201
15619	39202
15620	39203
15621	39204
15622	39205
15623	39206
15624	39207
15625	39208
15626	39209
15627	39210
15628	39211
15629	50944
	50945
15630	39213
15631	39214
15632	39215
15633	39216
15634	50946
15635	50947
15636	50948
15637	50949
15638	39221
15639	39222
15640	39223
15641	50950
15642	50951
15643	39226
47908	50952
	62869
47909	50953,50954
15645	39228
15646	39229
15647	39230
15648	39231
15649	39232,39233
15650	39234
15651	39235
47910	50955
47911	50956
15653	39237
15654	50957
15655	50958
15656	39239
15657	39240
15658	39241
15659	62882
15660	39243
15661	39244,50959
15662	50960
15663	39246
15664	50961
15665	39248
15666	50963
15667	39250
15668	39251
15669	39252
47912	50965
47913	50966
15671	39254
15672	39255
15673	39256
15674	50968
15675	39258
15676	62899
15677	39260
15678	50969
47914	50970
47915	39262
15680	39263
15681	39264
15682	39265
15683	39266
15684	39267
15685	39268
15686	39269
15687	39270
15688	50971
15689	50972
15690	50973
15691	39274
15692	39275
15693	39276
47916	50974
47917	50975
15696	39279
15697	39280
15698,15699	39282
15700	39283
15701	39284
15702	39285
15704	39287
15705,15707	39288
15708	39290
58699	39293
15711	50978
15712	50979
15713	39295
15714	39296
15715	39298
15716	39299
15717	39300
15718	39301,62910
15719	50980
47922	50981
47923	39303
15721	39304
15722	50982
15723	50983
15724	62911
15725	39306
15726	50985
15727	50986
15728	50987
15729	50988
15730	39311
15731	39312
15732	39313
15733	50989
15734	50990
15735	39316
15736	39317
15737	39318
15738	39319
15739	39320
15740	39321
15741	39322
15742	50991,50992
15743	39324
15744	39325
15745	
15746	39326,39327
15747	39328
15748	39329
15749	39330
15750	39331
15751	39332
15752	39333
15753	39334
15754	39335
15755	39336
15756	39337
15757	39338
15758	50994
47924	50995
47925	62913
15760	39341
15761	50996
15762	39343
15763	39344
15764	39345
47926	50999
47927	51000
15766	39347
15767	39348
15768	39349
15769	51001
15770	51002
15771	39352
15772	39353
15773	39354
15774	39355
15775	51003
15776	39357
15777	39358
47928,47929	39359,62916,62917
15779	39360
15780	39361
15781	39362
15782	39363
15783	39364
15784	39365
15785	51005
15786	51006
15787	51007
15788	51008
15789	39368
15790	39369
15791	39371
15792	39372
15793	39373
15794	62918
15795	39375
15796	39376
15797	39377
15798	39378
15799	39379
15800	39380
15801	39381
15802	39382
15803	39383
15804	39384
15805	51009
15806	39386
15807	39387
15808	39388
15809	51011
15810	51012
15811	39391
15812	39392
15813	39393
15814	39394
15815	39395
15816	39397
15817	39398
15818	51013
15819	51014
15820	51015
15821	51016
15822	51017
15823	51018
15824	51019
15825	51021,51022
47930	51023
47931	51024
15827	39407,62919
15828	39408
47932	51025
47933	51026
15830	51027
47934	51028,39411
47935	39412
47936	51029
47937	51030
47938	51031
15833	51032
15834	39414
15835	51033
15836	39417
15837	39418
15838,15839	51035,51037,51038,51040,51041
15840	39421
15841	39422
15842	39423
15843	39424
