original	translation
15048	13235
15049	13236
15050	13237
15051	13239
15052	13240
15053	13241
15054	13242
15055	13243
15056	13244
15057	13245
15058	13246
15059	13247
15060	13248
15061	13249
15062	13250
15063	13251
15064	13252
58353	13253
15065	13254,13255,13256
15066	13257,13258
15067	13259,13260
15068	13261,13262
15069	13263
47821	47517
47822	47518
47823	13266
47824,47825	13267
47826	13268
47827	13269
15073	47519,47520,47521,47522,47523,47524
15074	13271
15075	13272
15076	47525
15077	47526
15078	13275
15079	13276
15080	13277
15081,15082	13278,13279
47828,47829	13280
15084	13281
15085	13282
47830	47527
47831	47528
15087	13284
15088	13285
15089	13286,13287
15090	13288
15091	13289
15092	13290,13291
15093	13292
15094	13293
47832	13294
47833	13295
15096	13296
15097	13297
15098	13298
15099	13299
15100,58440	13300
57380	13301
47834	13302
47835	13303
15102	13304
15103	13305
15104	13306
15105	13307
15106	13308
15107	13309
15108	13311,13312,13313
15109	13314
15110	13315,13316
15111	13317
15112	13318
15113	13319
15114	13320
15115	13321
15116	13322
15117	13323
15118	13324
15119	13325
15120	13326
15121	13327
15123	13330
15124	13331
15125	13332
15126	62949
15129	13335
15130	13336
15131	13337
15132	13338
15133	13339
15134	13340
15135	13341
15136	13342
15137	13343
15138	13344,13345
15139	13346
15140	13347
15141	13348
15142	13349
15143	13350
15144	13351
15145,15146	13352
15147	13353
15148	13354
15149	13355
15150	13356
15151	13357
15152	13358,13359
15153	13360
15154	13361
15155	13362
15156	13363
15157	13364
15158	13365,13366
15159	13367
47838	13368
47839	47529
47840	47530
15161	13370
15162	13371
15163,15164	13372
15165	13375
15166	13376
15167	13377,13378
15168	13379
15169	13380
15170	13381
15171	13382
15172	13383
15173	13384,13385
15174	13386
47841	13387
47842	62951
47843	13389
47844	62953
15177	13391
15178	13392
15179	13393
15180	13394
15181	13395,13396
15182	13397
15183	13398
15184	13399
47845	13400
47846	13401
15186	13402
15187	13403
15188	13404
15189	13405
15190	13406
15191	13407,13408
15192	62954
15193	13409
15194	13410
15195	13411,13412
15196	13413
15197	13414,13415
15198	13416
15199	13418
15200	13419
15201	13420
15202	13421
47847	13422
47848	13423
15204	13424
15205	13425
15206	13426
15207	13428
15208	13429,13430
15209	13431
15210	13433
15211	13434
15212	13436
15213	13437
15214	13438
15215	13439
15216	13440,13441
15217	13442
15218	13443
15219	13444
15220	13445
15221	13446
15222	13447
15223	13448
15224	13449
15225	13450
15226	13451
15227	13452
15228	13453
15229	13454
15230	13455
15231	13456
15232	13458
47849	13459
47850	13460
15234	13461
15235	13462
47851	13463
47852	13464
15237	13465
15238	13466
15239	13467
47853	47531
47854	47532
15242	13471
15243	13472
15244	62955
15245	13474
47855	13475
47856	13476
15247	13477
47857	13478
47858	13479
47859	13480
47860	13481
15250	13482
15251	13484,13485
15252	13486
15253	13487
15254	13488
47861	13489
47862	62956
15256	13491
15257	13492
15258	13493
47863	47533
47864	47534
15260	13495
15261	13496
15262	13497
15263	13498
15264	13499
58491	
	13500
15265	13501
15266	13502
47865	13503
15268	13504
15269	13505
15270	13506
15271	13507
15272	13508
15273	13509
15274	13510
15275	13511
15276	13512
15277	13513
15278	13514,13515
15279	13516
15280	13517
15281	13518,13519
15282	13520
15283	13521
15284	13522
15285	13524,13525
15286	13526
15288	13528,13529,13530
15289	13531
15290	13532,13533
15291	13534
15292	13535
15293	13536
15294	13537
15295	13538
15296	13539
15297	13540
15298	13541
15299	13542
15300	13543
15301	13544
15302	13545
15303	13546
15304	13547
15305	13548,13549
15306	13550
15307	13551
15308	13552
15309	13553
15310	13554
15311	13555
15312	13556
15313	13557,13558,13559
15314	13560
47867	13561
47868	47535
15316	47536
15317	13563
15318	13564
15319	13565
15320	13566
15321	13567
15322	13568,13569
15323	13570
15324	13571,13572
15325	13573
15326	13574
15327	13575
15328	13576
15329	13577
